Technique,ATTACK_ID,Tactic,Used_by_VT,group_id,group_name
Windows Permissions,T1222.001,Defense Impairment,No,,
Add-ins,T1137.006,Persistence,No,,
Disable or Modify Cloud Log,T1685.002,Defense Impairment,No,,
Transport Agent,T1505.002,Persistence,No,,
System Information Discovery,T1082,Discovery,Yes,G1017,Volt Typhoon
Application Layer Protocol,T1071,Command And Control,Yes,G1017,Volt Typhoon
AppDomainManager,T1574.014,"Stealth, Execution",No,,
Remote Data Staging,T1074.002,Collection,No,,
Additional Container Cluster Roles,T1098.006,"Persistence, Privilege Escalation",No,,
Scheduled Task/Job,T1053,"Execution, Persistence, Privilege Escalation",No,,
Msiexec,T1218.007,Stealth,No,,
Network Trust Dependencies,T1590.003,Reconnaissance,No,,
Reflection Amplification,T1498.002,Impact,No,,
Password Filter DLL,T1556.002,"Defense Impairment, Persistence, Credential Access",No,,
Terminal Services DLL,T1505.005,Persistence,No,,
AppleScript,T1059.002,Execution,No,,
Software Extensions,T1176,Persistence,No,,
Service Exhaustion Flood,T1499.002,Impact,No,,
Compromise Hardware Supply Chain,T1195.003,Initial Access,No,,
Native API,T1106,Execution,No,,
Ccache Files,T1558.005,Credential Access,Yes,G1017,Volt Typhoon
Clear Network Connection History and Configurations,T1070.007,Stealth,Yes,G1017,Volt Typhoon
AS-REP Roasting,T1558.004,Credential Access,No,,
Virtual Private Server,T1584.003,Resource Development,Yes,G1017,Volt Typhoon
AutoHotKey & AutoIT,T1059.010,Execution,No,,
Reduce Key Space,T1600.001,Defense Impairment,No,,
Clear Command History,T1070.003,Stealth,No,,
Indirect Command Execution,T1202,Stealth,No,,
Replication Through Removable Media,T1091,"Lateral Movement, Initial Access",No,,
Data from Local System,T1005,Collection,Yes,G1017,Volt Typhoon
Deobfuscate/Decode Files or Information,T1140,Stealth,Yes,G1017,Volt Typhoon
Outlook Rules,T1137.005,Persistence,No,,
Cloud Accounts,T1586.003,Resource Development,No,,
Email Accounts,T1586.002,Resource Development,No,,
Additional Local or Domain Groups,T1098.007,"Persistence, Privilege Escalation",Yes,G1017,Volt Typhoon
Upload Malware,T1608.001,Resource Development,No,,
Supply Chain Compromise,T1195,Initial Access,No,,
Exploit Public-Facing Application,T1190,Initial Access,Yes,G1017,Volt Typhoon
Steal or Forge Kerberos Tickets,T1558,Credential Access,Yes,G1017,Volt Typhoon
Credentials from Password Stores,T1555,Credential Access,Yes,G1017,Volt Typhoon
Exfiltration Over Web Service,T1567,Exfiltration,No,,
Remote Access Tools,T1219,Command And Control,No,,
Domains,T1583.001,Resource Development,No,,
Archive via Library,T1560.002,Collection,No,,
Thread Execution Hijacking,T1055.003,"Stealth, Privilege Escalation",No,,
Social Engineering,T1684,Stealth,No,,
Masquerading,T1036,Stealth,Yes,G1017,Volt Typhoon
Application Shimming,T1546.011,"Privilege Escalation, Persistence",No,,
Unsecured Credentials,T1552,Credential Access,Yes,G1017,Volt Typhoon
Port Monitors,T1547.010,"Persistence, Privilege Escalation",No,,
Clear Mailbox Data,T1070.008,Stealth,No,,
Login Hook,T1037.002,"Persistence, Privilege Escalation",No,,
Content Injection,T1659,"Initial Access, Command And Control",No,,
Process Injection,T1055,"Stealth, Privilege Escalation",Yes,G1017,Volt Typhoon
Exfiltration Over Webhook,T1567.004,Exfiltration,No,,
Traffic Signaling,T1205,"Stealth, Persistence, Command And Control",No,,
Direct Cloud VM Connections,T1021.008,Lateral Movement,No,,
System Binary Proxy Execution,T1218,Stealth,Yes,G1017,Volt Typhoon
Timestomp,T1070.006,Stealth,No,,
Evil Twin,T1557.004,"Credential Access, Collection",No,,
Reflective Code Loading,T1620,Stealth,No,,
Wi-Fi Discovery,T1016.002,Discovery,No,,
Mutual Exclusion,T1480.002,Stealth,No,,
Ignore Process Interrupts,T1564.011,Stealth,No,,
Escape to Host,T1611,Privilege Escalation,No,,
Backup Software Discovery,T1518.002,Discovery,No,,
Shortcut Modification,T1547.009,"Persistence, Privilege Escalation",No,,
Application Window Discovery,T1010,Discovery,Yes,G1017,Volt Typhoon
Systemctl,T1569.003,Execution,No,,
Email Account,T1087.003,Discovery,No,,
Time Based Checks,T1497.003,"Stealth, Discovery",No,,
CMSTP,T1218.003,Stealth,No,,
SSH Hijacking,T1563.001,Lateral Movement,No,,
Scheduled Transfer,T1029,Exfiltration,No,,
SMB/Windows Admin Shares,T1021.002,Lateral Movement,Yes,G1017,Volt Typhoon
Implant Internal Image,T1525,Persistence,No,,
Protocol Tunneling,T1572,Command And Control,Yes,G1017,Volt Typhoon
Control Panel,T1218.002,Stealth,No,,
Network Address Translation Traversal,T1599.001,Defense Impairment,No,,
Upload Tool,T1608.002,Resource Development,No,,
