Technique,ATTACK_ID,Tactic,Used_by_VT,group_id,group_name
Spearphishing Voice,T1566.004,Initial Access,No,,
Exploits,T1587.004,Resource Development,Yes,G1017,Volt Typhoon
Disable or Modify Tools,T1685,Defense Impairment,Yes,G1017,Volt Typhoon
Social Media,T1593.001,Reconnaissance,No,,
Customer Relationship Management Software,T1213.004,Collection,No,,
Component Object Model Hijacking,T1546.015,"Privilege Escalation, Persistence",No,,
Credentials,T1589.001,Reconnaissance,No,,
Compromise Software Supply Chain,T1195.002,Initial Access,No,,
Rename Legitimate Utilities,T1036.003,Stealth,No,,
Bidirectional Communication,T1102.002,Command And Control,No,,
Exploitation for Client Execution,T1203,Execution,Yes,G1017,Volt Typhoon
Wordlist Scanning,T1595.003,Reconnaissance,No,,
Email Bombing,T1667,Impact,No,,
Outlook Home Page,T1137.004,Persistence,No,,
Asymmetric Cryptography,T1573.002,Command And Control,Yes,G1017,Volt Typhoon
Exfiltration to Cloud Storage,T1567.002,Exfiltration,No,,
Lateral Tool Transfer,T1570,Lateral Movement,Yes,G1017,Volt Typhoon
Path Interception by Unquoted Path,T1574.009,"Stealth, Execution",No,,
Install Digital Certificate,T1608.003,Resource Development,No,,
Startup Items,T1037.005,"Persistence, Privilege Escalation",No,,
System Language Discovery,T1614.001,Discovery,No,,
Non-Application Layer Protocol,T1095,Command And Control,Yes,G1017,Volt Typhoon
Container CLI/API,T1059.013,Execution,No,,
Steganography,T1027.003,Stealth,No,,
DNS Server,T1584.002,Resource Development,No,,
Cloud Application Integration,T1671,Persistence,No,,
Protocol or Service Impersonation,T1001.003,Command And Control,No,,
Query Registry,T1012,Discovery,Yes,G1017,Volt Typhoon
Data Transfer Size Limits,T1030,Exfiltration,No,,
Web Session Cookie,T1550.004,Lateral Movement,No,,
Domain Accounts,T1078.002,"Stealth, Persistence, Privilege Escalation, Initial Access",Yes,G1017,Volt Typhoon
Regsvcs/Regasm,T1218.009,Stealth,No,,
Python Startup Hooks,T1546.018,"Persistence, Privilege Escalation",No,,
Install Root Certificate,T1553.004,Defense Impairment,Yes,G1017,Volt Typhoon
Network Logon Script,T1037.003,"Persistence, Privilege Escalation",No,,
Endpoint Denial of Service,T1499,Impact,No,,
Compile After Delivery,T1027.004,Stealth,No,,
Safe Mode Boot,T1688,Defense Impairment,No,,
System Location Discovery,T1614,Discovery,Yes,G1017,Volt Typhoon
VBA Stomping,T1564.007,Stealth,No,,
BITS Jobs,T1197,"Stealth, Persistence, Execution",No,,
MSBuild,T1127.001,"Stealth, Execution",No,,
Modify Cloud Compute Configurations,T1578.005,Defense Impairment,No,,
Domain Fronting,T1090.004,Command And Control,No,,
ARP Cache Poisoning,T1557.002,"Credential Access, Collection",No,,
Security Software Discovery,T1518.001,Discovery,Yes,G1017,Volt Typhoon
Hidden Window,T1564.003,Stealth,No,,
ClickOnce,T1127.002,"Stealth, Execution",No,,
Python,T1059.006,Execution,No,,
Relocate Malware,T1070.010,Stealth,No,,
Identify Roles,T1591.004,Reconnaissance,Yes,G1017,Volt Typhoon
Data Encoding,T1132,Command And Control,No,,
AppInit DLLs,T1546.010,"Privilege Escalation, Persistence",No,,
Phishing for Information,T1598,Reconnaissance,No,,
Resource Hijacking,T1496,Impact,No,,
Impersonation,T1684.001,Stealth,No,,
Establish Accounts,T1585,Resource Development,No,,
Obtain Capabilities,T1588,Resource Development,Yes,G1017,Volt Typhoon
Screensaver,T1546.002,"Privilege Escalation, Persistence",No,,
Conditional Access Policies,T1556.009,"Defense Impairment, Persistence, Credential Access",No,,
Create Cloud Instance,T1578.002,Defense Impairment,No,,
Cloud Secrets Management Stores,T1555.006,Credential Access,No,,
Code Repositories,T1213.003,Collection,No,,
Transmitted Data Manipulation,T1565.002,Impact,No,,
/etc/passwd and /etc/shadow,T1003.008,Credential Access,No,,
Launch Agent,T1543.001,"Persistence, Privilege Escalation",No,,
System Services,T1569,Execution,Yes,G1017,Volt Typhoon
Windows Command Shell,T1059.003,Execution,Yes,G1017,Volt Typhoon
Proc Memory,T1055.009,"Stealth, Privilege Escalation",Yes,G1017,Volt Typhoon
Acquire Access,T1650,Resource Development,No,,
Patch System Image,T1601.001,Defense Impairment,No,,
Silver Ticket,T1558.002,Credential Access,Yes,G1017,Volt Typhoon
Data from Information Repositories,T1213,Collection,No,,
Clear Persistence,T1070.009,Stealth,No,,
Hypervisor CLI,T1059.012,Execution,No,,
Windows Credential Manager,T1555.004,Credential Access,Yes,G1017,Volt Typhoon
Masquerade Account Name,T1036.010,Stealth,No,,
Hardware Additions,T1200,Initial Access,No,,
Remote Desktop Software,T1219.002,Command And Control,No,,
Server Software Component,T1505,Persistence,Yes,G1017,Volt Typhoon
Data Destruction,T1485,Impact,No,,
Non-Standard Encoding,T1132.002,Command And Control,No,,
Domain Controller Authentication,T1556.001,"Defense Impairment, Persistence, Credential Access",No,,
Transfer Data to Cloud Account,T1537,Exfiltration,No,,
HTML Smuggling,T1027.006,Stealth,No,,
Reversible Encryption,T1556.005,"Defense Impairment, Persistence, Credential Access",No,,
Command Obfuscation,T1027.010,Stealth,No,,
File Deletion,T1070.004,Stealth,Yes,G1017,Volt Typhoon
Drive-by Compromise,T1189,Initial Access,No,,
Network Denial of Service,T1498,Impact,No,,
Cloud Administration Command,T1651,Execution,No,,
Installer Packages,T1546.016,"Privilege Escalation, Persistence",No,,
Scanning IP Blocks,T1595.001,Reconnaissance,No,,
Template Injection,T1221,Stealth,No,,
RC Scripts,T1037.004,"Persistence, Privilege Escalation",No,,
Access Token Manipulation,T1134,"Stealth, Privilege Escalation",Yes,G1017,Volt Typhoon
Multi-Factor Authentication Interception,T1111,Credential Access,No,,
Software Packing,T1027.002,Stealth,Yes,G1017,Volt Typhoon
Serverless,T1584.007,Resource Development,No,,
Web Protocols,T1071.001,Command And Control,Yes,G1017,Volt Typhoon
Visual Basic,T1059.005,Execution,No,,
Hidden File System,T1564.005,Stealth,No,,
Systemd Service,T1543.002,"Persistence, Privilege Escalation",No,,
Exclusive Control,T1668,Persistence,No,,
RDP Hijacking,T1563.002,Lateral Movement,No,,
Create Account,T1136,Persistence,Yes,G1017,Volt Typhoon
XDG Autostart Entries,T1547.013,"Persistence, Privilege Escalation",No,,
Server,T1584.004,Resource Development,Yes,G1017,Volt Typhoon
Cloud Service Discovery,T1526,Discovery,No,,
Malicious Copy and Paste,T1204.004,Execution,No,,
Remote System Discovery,T1018,Discovery,Yes,G1017,Volt Typhoon
Network Service Discovery,T1046,Discovery,Yes,G1017,Volt Typhoon
Domain Properties,T1590.001,Reconnaissance,No,,
Software Discovery,T1518,Discovery,Yes,G1017,Volt Typhoon
Cloud Service Dashboard,T1538,Discovery,No,,
Thread Local Storage,T1055.005,"Stealth, Privilege Escalation",No,,
Debugger Evasion,T1622,"Stealth, Discovery",No,,
Space after Filename,T1036.006,Stealth,No,,
Re-opened Applications,T1547.007,"Persistence, Privilege Escalation",No,,
SEO Poisoning,T1608.006,Resource Development,No,,
Pass the Hash,T1550.002,Lateral Movement,Yes,G1017,Volt Typhoon
Exfiltration Over Physical Medium,T1052,Exfiltration,No,,
Ingress Tool Transfer,T1105,Command And Control,Yes,G1017,Volt Typhoon
SyncAppvPublishingServer,T1216.002,Stealth,No,,
Additional Email Delegate Permissions,T1098.002,"Persistence, Privilege Escalation",No,,
Code Signing Certificates,T1588.003,Resource Development,No,,
Serverless Execution,T1648,Execution,No,,
TCC Manipulation,T1548.006,Privilege Escalation,No,,
Invisible Unicode,T1027.018,Stealth,No,,
Ptrace System Calls,T1055.008,"Stealth, Privilege Escalation",No,,
Power Settings,T1653,Persistence,No,,
Dynamic API Resolution,T1027.007,Stealth,No,,
Remote Desktop Protocol,T1021.001,Lateral Movement,Yes,G1017,Volt Typhoon
Logon Script (Windows),T1037.001,"Persistence, Privilege Escalation",No,,
ListPlanting,T1055.015,"Stealth, Privilege Escalation",No,,
Hide Infrastructure,T1665,Command And Control,No,,
Domain or Tenant Policy Modification,T1484,"Defense Impairment, Privilege Escalation",No,,
XSL Script Processing,T1220,Stealth,No,,
Scan Databases,T1596.005,Reconnaissance,Yes,G1017,Volt Typhoon
Hidden Files and Directories,T1564.001,Stealth,No,,
Create Snapshot,T1578.001,Defense Impairment,No,,
Determine Physical Locations,T1591.001,Reconnaissance,No,,
Office Test,T1137.002,Persistence,No,,
Develop Capabilities,T1587,Resource Development,Yes,G1017,Volt Typhoon
NTDS,T1003.003,Credential Access,Yes,G1017,Volt Typhoon
Cloud Firewall,T1686.001,Defense Impairment,No,,
SNMP (MIB Dump),T1602.001,Collection,No,,
Disable or Modify System Firewall,T1686,Defense Impairment,Yes,G1017,Volt Typhoon
Steganography,T1001.002,Command And Control,No,,
Malicious Link,T1204.001,Execution,No,,
Application Access Token,T1550.001,Lateral Movement,No,,
LSASS Driver,T1547.008,"Persistence, Privilege Escalation",No,,
Service Execution,T1569.002,Execution,Yes,G1017,Volt Typhoon
Cloud Accounts,T1078.004,"Stealth, Persistence, Privilege Escalation, Initial Access",No,,
Environmental Keying,T1480.001,Stealth,No,,
Fallback Channels,T1008,Command And Control,No,,
Local Storage Discovery,T1680,Discovery,Yes,G1017,Volt Typhoon
NTFS File Attributes,T1564.004,Stealth,No,,
Kerberoasting,T1558.003,Credential Access,Yes,G1017,Volt Typhoon
DCSync,T1003.006,Credential Access,Yes,G1017,Volt Typhoon
System Time Discovery,T1124,Discovery,Yes,G1017,Volt Typhoon
At,T1053.002,"Execution, Persistence, Privilege Escalation",No,,
Dynamic-link Library Injection,T1055.001,"Stealth, Privilege Escalation",No,,
Exploits,T1588.005,Resource Development,No,,
Modify Authentication Process,T1556,"Defense Impairment, Persistence, Credential Access",No,,
Udev Rules,T1546.017,"Persistence, Privilege Escalation",No,,
Credential API Hooking,T1056.004,"Collection, Credential Access",Yes,G1017,Volt Typhoon
Firmware Corruption,T1495,Impact,No,,
Inhibit System Recovery,T1490,Impact,No,,
Netsh Helper DLL,T1546.007,"Privilege Escalation, Persistence",Yes,G1017,Volt Typhoon
Spearphishing via Service,T1566.003,Initial Access,No,,
Internal Proxy,T1090.001,Command And Control,Yes,G1017,Volt Typhoon
System Script Proxy Execution,T1216,Stealth,No,,
Dead Drop Resolver,T1102.001,Command And Control,No,,
Junk Data,T1001.001,Command And Control,No,,
Spearphishing Service,T1598.001,Reconnaissance,No,,
vSphere Installation Bundles,T1505.006,Persistence,No,,
Container API,T1552.007,Credential Access,No,,
Domains,T1584.001,Resource Development,No,,
SQL Stored Procedures,T1505.001,Persistence,No,,
Network Device Authentication,T1556.004,"Defense Impairment, Persistence, Credential Access",No,,
Disk Content Wipe,T1561.001,Impact,No,,
Messaging Applications,T1213.005,Collection,No,,
Exfiltration Over Unencrypted Non-C2 Protocol,T1048.003,Exfiltration,No,,
Compression,T1027.015,Stealth,No,,
Dylib Hijacking,T1574.004,"Stealth, Execution",No,,
Downgrade System Image,T1601.002,Defense Impairment,No,,
Email Spoofing,T1684.002,Stealth,No,,
Local Accounts,T1078.003,"Stealth, Persistence, Privilege Escalation, Initial Access",No,,
Wi-Fi Networks,T1669,Initial Access,No,,
Exploitation for Stealth,T1211,Stealth,No,,
Trusted Developer Utilities Proxy Execution,T1127,"Stealth, Execution",No,,
System Shutdown/Reboot,T1529,Impact,No,,
MMC,T1218.014,Stealth,No,,
Process Argument Spoofing,T1564.010,Stealth,No,,
COR_PROFILER,T1574.012,"Stealth, Execution",No,,
